"TimeStamp","axis1","axis2","axis3","steps","lux","inclineOff","inclineStanding","inclineSitting","inclineLying","vm"
2018-01-20 08:53:50,41,85,229,3,0,0,4,6,0,248
2018-01-20 08:54:00,17,177,302,2,0,0,7,3,0,351
2018-01-20 08:54:10,0,15,9,0,0,0,0,10,0,18
2018-01-20 08:54:20,34,131,183,2,0,0,9,1,0,228
2018-01-20 08:54:30,0,39,83,0,0,0,10,0,0,92
2018-01-20 08:54:40,12,60,322,0,0,0,10,0,0,328
2018-01-20 08:54:50,0,8,18,0,0,0,10,0,0,20
2018-01-20 08:55:00,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:55:10,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:55:20,4,51,66,1,0,0,10,0,0,84
2018-01-20 08:55:30,25,24,66,2,0,0,10,0,0,75
2018-01-20 08:55:40,10,71,254,1,0,0,10,0,0,264
2018-01-20 08:55:50,36,99,150,2,0,0,8,2,0,184
2018-01-20 08:56:00,15,39,108,1,0,0,10,0,0,116
2018-01-20 08:56:10,13,59,77,0,0,0,10,0,0,98
2018-01-20 08:56:20,0,0,36,0,0,0,10,0,0,36
2018-01-20 08:56:30,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:56:40,0,11,15,0,0,0,10,0,0,19
2018-01-20 08:56:50,5,26,153,0,0,0,10,0,0,156
2018-01-20 08:57:00,0,26,19,0,0,0,10,0,0,33
2018-01-20 08:57:10,18,175,338,1,0,0,8,2,0,382
2018-01-20 08:57:20,14,64,325,1,0,0,8,2,0,332
2018-01-20 08:57:30,98,80,123,2,0,0,10,0,0,177
2018-01-20 08:57:40,0,7,34,0,0,0,9,1,0,35
2018-01-20 08:57:50,129,151,359,2,0,0,10,0,0,411
2018-01-20 08:58:00,13,56,243,1,0,0,10,0,0,250
2018-01-20 08:58:10,50,143,422,4,0,0,8,2,0,449
2018-01-20 08:58:20,0,0,0,0,0,0,0,10,0,0
2018-01-20 08:58:30,0,37,84,0,0,0,2,8,0,92
2018-01-20 08:58:40,19,105,319,1,0,0,8,2,0,337
2018-01-20 08:58:50,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:59:00,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:59:10,13,92,207,1,0,0,9,1,0,227
2018-01-20 08:59:20,19,83,296,1,0,0,7,3,0,309
2018-01-20 08:59:30,5,32,96,1,0,0,10,0,0,102
2018-01-20 08:59:40,18,83,214,0,0,0,10,0,0,231
2018-01-20 08:59:50,18,100,166,1,0,0,9,1,0,195
2018-01-20 09:00:00,0,53,111,0,0,0,10,0,0,124
